Subfolder,Total Pairs,Train Pairs,Test Pairs,Val Pairs,Train Duplicates,Test Duplicates,Val Duplicates
Job_7,179,125,27,27,0,0,0
Job_11,149,104,22,23,0,0,0
Job_12,77,54,12,11,0,0,0
Job_13,49,34,7,8,0,0,0
Job_14,8,6,1,1,0,0,0
Job_15,16,11,2,3,0,0,0
Job_16,8,6,1,1,0,0,0
Job_21,101,71,15,15,0,0,0
Job_17,12,8,2,2,0,0,0
Job_18,7,5,1,1,0,0,0
Job_24,66,46,10,10,0,0,0
Job_24_filter,89,62,13,14,0,0,0
Job_25,75,52,11,12,0,0,0
Job_27,32,22,5,5,0,0,0
Job_28,68,48,10,10,0,0,0
Job_29,80,56,12,12,0,0,0
Job_30,49,34,7,8,0,0,0
Job_31,74,52,11,11,0,0,0
Job_32,84,59,13,12,0,0,0
Job_36,64,45,10,9,0,0,0
Job_37,50,35,8,7,0,0,0
Job_41,70,49,10,11,0,0,0
Job_43,37,26,6,5,0,0,0
Job_48,34,24,5,5,0,0,0
Job_50,25,18,4,3,0,0,0
Job_55,18,13,3,2,0,0,0
Job_56,35,24,5,6,0,0,0
Job_57,59,41,9,9,0,0,0
Job_59,40,28,6,6,0,0,0
Job_60,54,38,8,8,0,0,0
Job_61,76,53,11,12,0,0,0
Job_65,147,103,22,22,0,0,0
Job_66,24,17,4,3,0,0,0
Job_67,21,15,3,3,0,0,0
Job_69,42,29,6,7,0,0,0
Job_70,44,31,7,6,0,0,0
Job_71,83,58,12,13,0,0,0
Job_72,73,51,11,11,0,0,0
Job_73,44,31,7,6,0,0,0
Job_74,29,20,4,5,0,0,0
Job_75,29,20,4,5,0,0,0
Job_76,40,28,6,6,0,0,0
Job_77,40,28,6,6,0,0,0
Job_78,40,28,6,6,0,0,0
Job_87,53,37,8,8,0,0,0
Job_89,38,27,6,5,0,0,0
Job_95,35,24,5,6,0,0,0
Job_96,90,63,14,13,0,0,0
Job_98,36,25,5,6,0,0,0
Job_104,108,76,16,16,0,0,0
Job_105,41,29,6,6,0,0,0
Job_106,30,21,4,5,0,0,0
Job_108,5,4,1,0,0,0,0
Job_109,27,19,4,4,0,0,0
Job_114,96,67,14,15,0,0,0
Job_115,63,44,9,10,0,0,0
Job_116,30,21,4,5,0,0,0
Job_117,49,34,7,8,0,0,0
Job_118,26,18,4,4,0,0,0
Job_119,45,31,7,7,0,0,0
Job_120,58,41,9,8,0,0,0
Job_121,24,17,4,3,0,0,0
Job_123,30,21,4,5,0,0,0
Job_125,48,34,7,7,0,0,0
Job_126,16,11,2,3,0,0,0
Job_128,54,38,8,8,0,0,0
Job_130,28,20,4,4,0,0,0
Job_131,22,15,3,4,0,0,0
Job_142,22,15,3,4,0,0,0
Job_143,14,10,2,2,0,0,0
Job_145,11,8,2,1,0,0,0
Job_146,12,8,2,2,0,0,0
Job_147,22,15,3,4,0,0,0
Job_151,6,4,1,1,0,0,0
Job_155,61,43,9,9,0,0,0
Job_156,56,39,8,9,0,0,0
Job_157,169,118,25,26,0,0,0
Job_158,20,14,3,3,0,0,0
Job_159,17,12,3,2,0,0,0
Job_160,12,8,2,2,0,0,0
Job_22,101,71,15,15,0,0,0
Job_88,36,25,5,6,0,0,0
Job_7_Aug,89,62,0,0,0,0,0
Job_11_Aug,149,104,0,0,0,0,0
Job_12_Aug,76,53,0,0,0,0,0
Job_13_Aug,48,34,0,0,0,0,0
Job_15_Aug,16,11,0,0,0,0,0
Job_16_Aug,7,5,0,0,0,0,0
Job_17_Aug,12,8,0,0,0,0,0
Job_18_Aug,7,5,0,0,0,0,0
Job_21_Aug,100,70,0,0,0,0,0
Job_22_Aug,100,70,0,0,0,0,0
Job_27_Aug,31,22,0,0,0,0,0
Job_30_Aug,49,34,0,0,0,0,0
Job_31_Aug,74,52,0,0,0,0,0
Job_32_Aug,83,58,0,0,0,0,0
Job_36_Aug,64,45,0,0,0,0,0
Job_41_Aug,70,49,0,0,0,0,0
Job_24_Aug,65,46,0,0,0,0,0
Job_24_filter_Aug,88,62,0,0,0,0,0
Job_42_Aug,53,37,0,0,0,0,0
Job_48_Aug,34,24,0,0,0,0,0
Job_50_Aug,24,17,0,0,0,0,0
Job_55_Aug,18,13,0,0,0,0,0
Job_59_Aug,40,28,0,0,0,0,0
Job_60_Aug,54,38,0,0,0,0,0
Job_61_Aug,76,53,0,0,0,0,0
Job_70_Aug,43,30,0,0,0,0,0
Job_73_Aug,44,31,0,0,0,0,0
Job_74_Aug,29,20,0,0,0,0,0
Job_75_Aug,29,20,0,0,0,0,0
Job_76_Aug,39,27,0,0,0,0,0
Job_77_Aug,40,28,0,0,0,0,0
Job_78_Aug,40,28,0,0,0,0,0
Job_87_Aug,52,36,0,0,0,0,0
Job_88_Aug,35,24,0,0,0,0,0
Job_89_Aug,37,26,0,0,0,0,0
Job_95_Aug,35,24,0,0,0,0,0
Job_104_Aug,108,76,0,0,0,0,0
Job_105_Aug,40,28,0,0,0,0,0
Job_106_Aug,30,21,0,0,0,0,0
Job_108_Aug,5,4,0,0,0,0,0
Job_114_Aug,96,67,0,0,0,0,0
Job_115_Aug,63,44,0,0,0,0,0
Job_118_Aug,26,18,0,0,0,0,0
Job_117_Aug,49,34,0,0,0,0,0
Job_116_Aug,29,20,0,0,0,0,0
Job_119_Aug,44,31,0,0,0,0,0
Job_123_Aug,30,21,0,0,0,0,0
Job_125_Aug,48,34,0,0,0,0,0
Job_126_Aug,16,11,0,0,0,0,0
Job_130_Aug,28,20,0,0,0,0,0
Job_143_Aug,13,9,0,0,0,0,0
Job_145_Aug,31,22,0,0,0,0,0
Job_14_Aug,7,5,0,0,0,0,0
Job_25_Aug,75,52,0,0,0,0,0
Job_28_Aug,68,48,0,0,0,0,0
Job_29_Aug,80,56,0,0,0,0,0
Job_43_Aug,37,26,0,0,0,0,0
Job_56_Aug,34,24,0,0,0,0,0
Job_57_Aug,59,41,0,0,0,0,0
Job_42,54,38,8,8,0,0,0
Job_65_ILLUM,147,103,0,0,0,0,0
Job_7_Aug_ILLUM,89,62,0,0,0,0,0
Job_37_Aug_ILLUM,50,35,0,0,0,0,0
Job_37_ILLUM,50,35,0,0,0,0,0
Job_54_Aug_ILLUM,41,29,0,0,0,0,0
Job_54_ILLUM,42,29,0,0,0,0,0
Job_55_Aug_ILLUM,18,13,0,0,0,0,0
Job_55_ILLUM,18,13,0,0,0,0,0
Job_56_Aug_ILLUM,34,24,0,0,0,0,0
Job_56_ILLUM,35,24,0,0,0,0,0
Job_57_Aug_ILLUM,59,41,0,0,0,0,0
Job_57_ILLUM,59,41,0,0,0,0,0
Job_60_Aug_ILLUM,54,38,0,0,0,0,0
Job_60_ILLUM,54,38,0,0,0,0,0
Job_61_Aug_ILLUM,76,53,0,0,0,0,0
Job_61_ILLUM,76,53,0,0,0,0,0
Job_43_RY_Swapped_to_88,70,49,0,0,0,0,0
Job_Aug_Perpsective,2,1,0,0,0,0,0
Job_52_Processed,95,66,14,15,0,0,0
Job_51_Processed,87,61,13,13,0,0,0
Job_121_Aug,23,16,0,0,0,0,0
Job_37_Aug,50,35,0,0,0,0,0
Job_23_Job_23_Aug_Mrg,232,162,0,0,0,0,0
Job_23_flt_Job_23_flt_Aug_Mrg,85,59,0,0,0,0,0
Job_54_Job_54_Aug,12,8,0,0,0,0,0
